idna_subject,checker_type,destination,source,tested_at,session_id
static.a-ads.com,AVAILABILITY,origin.list,origin.list,2022-12-05 05:32:16.357471,855d95a196ee3053952c3bae
mfr.a2dfp.net,AVAILABILITY,origin.list,origin.list,2022-12-05 05:32:16.660148,855d95a196ee3053952c3bae
ad.a8.net,AVAILABILITY,origin.list,origin.list,2022-12-05 05:32:16.717012,855d95a196ee3053952c3bae
fr.a2dfp.net,AVAILABILITY,origin.list,origin.list,2022-12-05 05:32:16.862731,855d95a196ee3053952c3bae
track.acclaimnetwork.com,AVAILABILITY,origin.list,origin.list,2022-12-05 05:32:17.588676,855d95a196ee3053952c3bae
abcstats.com,AVAILABILITY,origin.list,origin.list,2022-12-05 05:32:18.539809,855d95a196ee3053952c3bae
app.activetrail.com,AVAILABILITY,origin.list,origin.list,2022-12-05 05:32:18.711133,855d95a196ee3053952c3bae
csh.actiondesk.com,AVAILABILITY,origin.list,origin.list,2022-12-05 05:32:19.044141,855d95a196ee3053952c3bae
ads.activepower.net,AVAILABILITY,origin.list,origin.list,2022-12-05 05:32:19.065197,855d95a196ee3053952c3bae
adadvisor.net,AVAILABILITY,origin.list,origin.list,2022-12-05 05:32:19.277020,855d95a196ee3053952c3bae
ad2games.com,AVAILABILITY,origin.list,origin.list,2022-12-05 05:32:19.629123,855d95a196ee3053952c3bae
ct1.addthis.com,AVAILABILITY,origin.list,origin.list,2022-12-05 05:32:20.034016,855d95a196ee3053952c3bae
www.adchimp.com,AVAILABILITY,origin.list,origin.list,2022-12-05 05:32:20.085405,855d95a196ee3053952c3bae
pixel.adcrowd.com,AVAILABILITY,origin.list,origin.list,2022-12-05 05:32:20.327506,855d95a196ee3053952c3bae
static.adfclick1.com,AVAILABILITY,origin.list,origin.list,2022-12-05 05:32:20.658156,855d95a196ee3053952c3bae
server.adformdsp.net,AVAILABILITY,origin.list,origin.list,2022-12-05 05:32:21.349549,855d95a196ee3053952c3bae
adexc.net,AVAILABILITY,origin.list,origin.list,2022-12-05 05:32:21.570581,855d95a196ee3053952c3bae
s.adframesrc.com,AVAILABILITY,origin.list,origin.list,2022-12-05 05:32:21.583793,855d95a196ee3053952c3bae
www.ad-groups.com,AVAILABILITY,origin.list,origin.list,2022-12-05 05:32:22.173495,855d95a196ee3053952c3bae
www.adgitize.com,AVAILABILITY,origin.list,origin.list,2022-12-05 05:32:22.580444,855d95a196ee3053952c3bae
adgrx.com,AVAILABILITY,origin.list,origin.list,2022-12-05 05:32:22.698922,855d95a196ee3053952c3bae
adhitzads.com,AVAILABILITY,origin.list,origin.list,2022-12-05 05:32:23.307924,855d95a196ee3053952c3bae
adhall.com,AVAILABILITY,origin.list,origin.list,2022-12-05 05:32:23.400390,855d95a196ee3053952c3bae
adserver-e7.com,AVAILABILITY,origin.list,origin.list,2022-12-05 05:32:23.862640,855d95a196ee3053952c3bae
aj.adjungle.com,AVAILABILITY,origin.list,origin.list,2022-12-05 05:32:26.125579,855d95a196ee3053952c3bae
asy.a8ww.net,AVAILABILITY,origin.list,origin.list,2022-12-05 05:32:26.680282,855d95a196ee3053952c3bae
admedia.com,AVAILABILITY,origin.list,origin.list,2022-12-05 05:32:27.133800,855d95a196ee3053952c3bae
w.admedia.com,AVAILABILITY,origin.list,origin.list,2022-12-05 05:32:27.414182,855d95a196ee3053952c3bae
cdn.admixer.net,AVAILABILITY,origin.list,origin.list,2022-12-05 05:32:28.246472,855d95a196ee3053952c3bae
run.admost.com,AVAILABILITY,origin.list,origin.list,2022-12-05 05:32:28.554263,855d95a196ee3053952c3bae
ads.adnet.am,AVAILABILITY,origin.list,origin.list,2022-12-05 05:32:29.211515,855d95a196ee3053952c3bae
static.uk.addynamo.com,AVAILABILITY,origin.list,origin.list,2022-12-05 05:32:30.224524,855d95a196ee3053952c3bae
adnet.com.ua,AVAILABILITY,origin.list,origin.list,2022-12-05 05:32:30.590661,855d95a196ee3053952c3bae
www.ad-net.co.uk,AVAILABILITY,origin.list,origin.list,2022-12-05 05:32:30.767479,855d95a196ee3053952c3bae
ad.adnet.biz,AVAILABILITY,origin.list,origin.list,2022-12-05 05:32:31.057495,855d95a196ee3053952c3bae
srv.adngin.com,AVAILABILITY,origin.list,origin.list,2022-12-05 05:32:31.443675,855d95a196ee3053952c3bae
ad.adnow.com,AVAILABILITY,origin.list,origin.list,2022-12-05 05:32:31.869442,855d95a196ee3053952c3bae
media.adfrontiers.com,AVAILABILITY,origin.list,origin.list,2022-12-05 05:32:31.948205,855d95a196ee3053952c3bae
speednetwork14.adk2.co,AVAILABILITY,origin.list,origin.list,2022-12-05 05:32:31.981009,855d95a196ee3053952c3bae
cdn.oas-c17.adnxs.com,AVAILABILITY,origin.list,origin.list,2022-12-05 05:32:32.083577,855d95a196ee3053952c3bae
ace.adoftheyear.com,AVAILABILITY,origin.list,origin.list,2022-12-05 05:32:32.812198,855d95a196ee3053952c3bae
adroll.com,AVAILABILITY,origin.list,origin.list,2022-12-05 05:32:33.301156,855d95a196ee3053952c3bae
vu.adschoom.com,AVAILABILITY,origin.list,origin.list,2022-12-05 05:32:33.925396,855d95a196ee3053952c3bae
mg.adskeeper.co.uk,AVAILABILITY,origin.list,origin.list,2022-12-05 05:32:33.958836,855d95a196ee3053952c3bae
